signal_date,execution_date,expected_members,eligible_members,missing_members,coverage,selected,selected_momentum,target_invested_weight,parameters,coverage_gate_passed,turnover,transaction_cost,portfolio_value_before_trade
2023-07-31,2023-08-01,30,29,['WBA'],0.9666666666666667,"['CRM', 'AAPL', 'MSFT', 'INTC', 'AXP', 'V', 'BA', 'MCD', 'JPM', 'CSCO']","{'CRM': 0.6105155922735412, 'AAPL': 0.46229415305481814, 'MSFT': 0.42059173086426704, 'INTC': 0.2894147545482546, 'AXP': 0.1839345238614647, 'V': 0.1403203893323306, 'BA': 0.11842665605802116, 'MCD': 0.11580846957936419, 'JPM': 0.10538494676751164, 'CSCO': 0.09419122929562951}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.22899462914114901,0.00029152253852769076,1.2730540433243107
2023-08-31,2023-09-01,30,29,['WBA'],0.9666666666666667,"['AAPL', 'MSFT', 'CRM', 'INTC', 'CAT', 'JPM', 'WMT', 'PG', 'IBM', 'CSCO']","{'AAPL': 0.3385602197201789, 'MSFT': 0.3277830153035364, 'CRM': 0.3127342924916614, 'INTC': 0.23678640541848095, 'CAT': 0.1517016891608287, 'JPM': 0.1267161307843816, 'WMT': 0.11545062392715355, 'PG': 0.11366199973482582, 'IBM': 0.09798025009362177, 'CSCO': 0.09670558828448472}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.8167087977400052,0.0010282093085979076,1.25896685751784
2023-09-29,2023-10-02,30,29,['WBA'],0.9666666666666667,"['INTC', 'MSFT', 'AAPL', 'CRM', 'CSCO', 'IBM', 'WMT', 'HD', 'CAT', 'PG']","{'INTC': 0.37371243342194727, 'MSFT': 0.34083050491691025, 'AAPL': 0.29490933291100707, 'CRM': 0.2849716916920184, 'CSCO': 0.1930238331355354, 'IBM': 0.17462819075636804, 'WMT': 0.16341895818695562, 'HD': 0.16085056902688355, 'CAT': 0.14717594878465734, 'PG': 0.13308895541619314}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.226623184626495,0.0002709190960291177,1.1954606342489988
2023-10-31,2023-11-01,30,29,['WBA'],0.9666666666666667,"['CAT', 'MSFT', 'AMGN', 'JPM', 'IBM', 'UNH', 'WMT', 'INTC', 'AAPL', 'CSCO']","{'CAT': 0.19973720721031563, 'MSFT': 0.12100703084183184, 'AMGN': 0.12099601965696238, 'JPM': 0.1195875457710398, 'IBM': 0.10124567904814263, 'UNH': 0.09755539378494515, 'WMT': 0.09379110998077711, 'INTC': 0.093765032563351, 'AAPL': 0.056551101387622094, 'CSCO': 0.05612274513413351}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.6380284295978584,0.0007598787268820848,1.1909794166398309
2023-11-30,2023-12-01,30,29,['WBA'],0.9666666666666667,"['INTC', 'IBM', 'CSCO', 'MSFT', 'AMGN', 'UNH', 'WMT', 'CAT', 'V', 'CRM']","{'INTC': 0.23551615743031884, 'IBM': 0.18487877946534748, 'CSCO': 0.1411700495472208, 'MSFT': 0.11183842818170997, 'AMGN': 0.1026989637910729, 'UNH': 0.09416870036830982, 'WMT': 0.08885992170834234, 'CAT': 0.06132129228594807, 'V': 0.03974510003053622, 'CRM': 0.036060658937899115}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.46092710407200177,0.0005906060440764913,1.2813437067572235
2023-12-29,2024-01-02,30,29,['WBA'],0.9666666666666667,"['INTC', 'IBM', 'AMGN', 'CAT', 'MSFT', 'V', 'JPM', 'HD', 'UNH', 'VZ']","{'INTC': 0.43924866277454555, 'IBM': 0.2442975227502362, 'AMGN': 0.227614975193682, 'CAT': 0.22469332640953255, 'MSFT': 0.1584476285013494, 'V': 0.1548220677888481, 'JPM': 0.15338841933787117, 'HD': 0.1116879514156155, 'UNH': 0.10677940778306061, 'VZ': 0.10177873303637797}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.6345064336389903,0.0008479241089366328,1.3363522637172642
2024-01-31,2024-02-01,30,29,['WBA'],0.9666666666666667,"['INTC', 'AMGN', 'IBM', 'CRM', 'BA', 'GS', 'CAT', 'JPM', 'HD', 'MMM']","{'INTC': 0.513056651827468, 'AMGN': 0.3180639454760297, 'IBM': 0.2503423619380569, 'CRM': 0.2455741795545523, 'BA': 0.2344193935476917, 'GS': 0.21591382237507406, 'CAT': 0.21385724397686, 'JPM': 0.18627604313008872, 'HD': 0.13026293780479037, 'MMM': 0.1259958415045337}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.838087388007334,0.0011687033554535979,1.3944886561678826
2024-02-29,2024-03-01,30,30,[],1.0,"['AMGN', 'IBM', 'VZ', 'CRM', 'TRV', 'MSFT', 'AXP', 'INTC', 'AMZN', 'V']","{'AMGN': 0.3652056796932617, 'IBM': 0.33296682703078706, 'VZ': 0.29424857485874845, 'CRM': 0.2787431939967473, 'TRV': 0.25170987249530996, 'MSFT': 0.22138062690310467, 'AXP': 0.21773463894931755, 'INTC': 0.20816455070149553, 'AMZN': 0.18940760556165093, 'V': 0.17049715983571323}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,1.2284773683318067,0.0017486586916493697,1.4234358212263494
2024-03-28,2024-04-01,30,30,[],1.0,"['CRM', 'TRV', 'AXP', 'DIS', 'AMZN', 'IBM', 'JPM', 'MSFT', 'INTC', 'VZ']","{'CRM': 0.41587931651992793, 'TRV': 0.3866738440659614, 'AXP': 0.37969129955924186, 'DIS': 0.32083045667281795, 'AMZN': 0.300585882949707, 'IBM': 0.29509668005632483, 'JPM': 0.26650726952587367, 'MSFT': 0.26445171408847035, 'INTC': 0.2567387180628089, 'VZ': 0.24132875890512118}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.40806355010797557,0.0005932115486079441,1.4537234419760783
2024-04-30,2024-05-01,30,30,[],1.0,"['AXP', 'DIS', 'CRM', 'AMZN', 'TRV', 'IBM', 'JPM', 'MSFT', 'VZ', 'CAT']","{'AXP': 0.5262167865174778, 'DIS': 0.5216035822398741, 'CRM': 0.4894434801699956, 'AMZN': 0.4364978282145999, 'TRV': 0.37487975738125257, 'IBM': 0.3683652921570746, 'JPM': 0.36624235300536157, 'MSFT': 0.3589416889925585, 'VZ': 0.3490218363392459, 'CAT': 0.32968924772157737}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.2157463250790345,0.0002871136394541872,1.3307927231159498
2024-05-31,2024-06-03,30,30,[],1.0,"['AXP', 'GS', 'JPM', 'CAT', 'DIS', 'MMM', 'CRM', 'AMZN', 'TRV', 'MRK']","{'AXP': 0.6257917291261978, 'GS': 0.4410345056098357, 'JPM': 0.4129610648800921, 'CAT': 0.3784945741596033, 'DIS': 0.37382340798416225, 'MMM': 0.3580573377245435, 'CRM': 0.3501328047266128, 'AMZN': 0.3488055982540754, 'TRV': 0.3008050696913376, 'MRK': 0.2714797860947331}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.6439646246232966,0.0008589338747479427,1.3338215204762183
2024-06-28,2024-07-01,30,30,[],1.0,"['AXP', 'CAT', 'GS', 'JPM', 'MRK', 'WMT', 'AMZN', 'MMM', 'CRM', 'TRV']","{'AXP': 0.4474250044747248, 'CAT': 0.3780451159003184, 'GS': 0.37452366128101233, 'JPM': 0.30879500646995295, 'MRK': 0.2581685245213883, 'WMT': 0.2555213818981301, 'AMZN': 0.23211270247488192, 'MMM': 0.23048991966118293, 'CRM': 0.209906263953338, 'TRV': 0.18798041842645974}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.2273760282726779,0.000305342229998755,1.3428954332537513
2024-07-31,2024-08-01,30,30,[],1.0,"['WMT', 'AMZN', 'AXP', 'MSFT', 'JPM', 'GS', 'MRK', 'VZ', 'PG', 'MMM']","{'WMT': 0.2936000423557852, 'AMZN': 0.2856955970167665, 'AXP': 0.2528867666579613, 'MSFT': 0.22148788198803415, 'JPM': 0.22091983876199506, 'GS': 0.21573351266149565, 'MRK': 0.190413680765944, 'VZ': 0.1504718271605554, 'PG': 0.130892852015559, 'MMM': 0.1229630259399237}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.6494000937481051,0.0009172609314810545,1.4124742825135002
2024-08-30,2024-09-03,30,30,[],1.0,"['MMM', 'GS', 'WMT', 'AXP', 'JPM', 'AAPL', 'AMZN', 'KO', 'UNH', 'CAT']","{'MMM': 0.641107036242573, 'GS': 0.3195282320122479, 'WMT': 0.27570518290494683, 'AXP': 0.24635578046151219, 'JPM': 0.2063091945255815, 'AAPL': 0.1872841892114414, 'AMZN': 0.18601811175037875, 'KO': 0.1604494595198669, 'UNH': 0.12843911589888513, 'CAT': 0.1124622013302865}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.8274547344174076,0.0012028618256958313,1.45368897616223
2024-09-30,2024-10-01,30,30,[],1.0,"['MMM', 'GS', 'WMT', 'AAPL', 'AMGN', 'KO', 'UNH', 'JPM', 'AXP', 'IBM']","{'MMM': 0.7469305827176829, 'GS': 0.319077134250336, 'WMT': 0.31658459463935884, 'AAPL': 0.27451188721242037, 'AMGN': 0.22587804536668776, 'KO': 0.21942434932964305, 'UNH': 0.20830948494191315, 'JPM': 0.20791489426433096, 'AXP': 0.19142024007150327, 'IBM': 0.09512693672095973}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.4358633984967939,0.000645129411432234,1.4801183436304974
